Date,White,Black,Hispanic
SEP 2021,16.8480847837834,20.59465062887806,20.95026621807386
APR 2022,14.99021652975665,23.68307697069984,23.1853270398504
SEP 2022,17.87394509667342,27.73030148321075,25.94485261583506
JAN 2023,18.79145852960396,27.47923000752336,31.77684025828936
APR 2023,17.3623149109475,24.8441730688533,33.1122804281293
MAY 2023,18.63411974761372,33.47494297287948,31.64131512720212
SEP 2023,17.51581533027198,23.25419504884679,26.15405024497158
JUN 2024,19.02113707108494,23.76647953722658,25.42733100056648
SEP 2024,17.62084884213102,21.66551643521574,19.92654698659038
NOV 2024,18.8609379144001,28.5333959314574,20.97593359429727
MAY 2025,20.88043900039386,28.92441197695135,30.79880729745029
SEP 2025,20.94227252081161,27.81988788327528,23.72895868558115
JAN 2026,17.07736363783088,25.76568098831811,24.74615310895424
