Date,Democrats,Independents,Republicans
JAN 2023,47.71292101234415,51.77546201908839,49.85625796933294
APR 2023,49.18518757774547,57.67861188826734,59.57037266442647
MAY 2023,46.95636548584767,51.84370769064758,58.3605243121679
JUN 2023,49.29759160143314,55.88527494976201,54.84157039600641
SEP 2023,51.65921396752368,58.8951669526374,57.75388885172157
JAN 2024,53.75705703759733,50.20831505038888,56.30869825158488
JUN 2024,61.22229618952735,57.11808277341061,55.81769763002343
SEP 2024,45.64051771273642,51.64550115447371,49.14996630053044
NOV 2024,59.00280001154739,53.09373523040669,42.00209580756415
MAY 2025,53.98346803147604,38.09569029613971,37.5199952667281
SEP 2025,47.49455618369972,51.41040523164329,48.57203387471208
