Date,18 to 29,30 to 44,45 to 59,60 Plus
SEP 2021,20.64701530308954,19.70396605765485,19.66569144538756,13.84796257984398
APR 2022,22.68514387479665,22.64593526612944,15.62490705874488,12.0771102475826
SEP 2022,25.72974923083346,24.90935309179485,20.7764521602594,13.49111943899903
JAN 2023,33.42216464918577,22.4431080107373,23.20186109309095,14.34220627192323
APR 2023,29.26324891249874,24.51495535171516,22.48046083366586,13.27937930360273
MAY 2023,32.6136786175737,26.32810347628696,26.15804864616893,15.59520237963293
SEP 2023,25.24520886137361,21.04446900938301,22.69478226986261,13.40975615555759
JUN 2024,27.87794831713078,21.43481345117355,18.06043859866042,15.97678687388067
SEP 2024,17.98793298627277,19.85198419901872,20.27199596841959,15.59687432498474
NOV 2024,24.30386970194713,22.43262342199004,21.80986164161039,15.99347505478546
MAY 2025,24.8014081698358,24.71728374077555,22.24469117241094,23.86434309278623
SEP 2025,20.82651639281674,22.66000672990899,26.12726396602732,20.5033071019211
JAN 2026,27.1615655169097,21.79924593566712,23.00537234296724,13.23063297120732
