Date,White,Black,Hispanic
JAN 2023,44.67556482948164,29.74971049931291,40.62083646336674
APR 2023,50.76040321028081,37.02022892841871,47.32789395598915
MAY 2023,47.87790396981173,40.60742606574138,45.98706392944653
JUN 2023,44.95246526831621,32.91304313736141,47.11674972915901
SEP 2023,52.3427412080345,41.1856458337596,54.55143375342968
JAN 2024,51.99019717421746,42.17720181482189,50.43544346850319
JUN 2024,50.23306044792057,38.55429210383632,47.34687534880748
NOV 2024,52.98561773029685,50.08286409472787,43.38265093424344
MAY 2025,51.82511882940361,37.75461610936661,38.31488435715528
SEP 2025,44.36935753154839,35.48107315258909,40.1519261747856
