Date,No 4-year Degree,Has 4-year Degree
JAN 2023,50.68817605962796,46.14298741107141
APR 2023,56.07622341006599,50.99624701170735
MAY 2023,53.08917348236333,50.15410969685422
JUN 2023,52.83763837431901,51.46475810236387
SEP 2023,55.46047389240299,54.10889951376085
JAN 2024,52.62843044257356,56.08156194744025
JUN 2024,58.36945117361255,58.80437275519039
SEP 2024,46.78886561889249,50.11710751624674
NOV 2024,49.75890118908978,54.76629967745078
MAY 2025,43.03061049845745,48.03106495421275
SEP 2025,50.039875663614,45.98402231637746
