Date,Democrats,Independents,Republicans
SEP 2021,17.3781431556054,19.12207061591174,18.46495468610019
APR 2022,15.75460190414215,21.1245216711966,18.74205905439734
SEP 2022,19.79546533586481,23.46690198515273,20.33675600158422
JAN 2023,22.31426162781237,29.89556221089859,18.73715120787488
APR 2023,22.15398763527418,24.34037178611928,19.54930363309102
MAY 2023,24.34220950446444,30.45224887119402,20.95223555520445
SEP 2023,19.17022568979759,19.21357885855323,20.89980928557455
JUN 2024,20.22996427923126,21.11879120173493,19.76702762404003
SEP 2024,19.03230628363588,14.8359426057063,18.82535532628413
NOV 2024,23.44423209500211,19.29942604367777,17.82767279256819
MAY 2025,35.48431360217623,14.75343411964175,14.81376283632117
SEP 2025,27.08122299414359,22.03279687871998,16.58223481391166
JAN 2026,27.84146203109427,20.92461627261422,12.21209085598568
