Date,Democrats,Independents,Republicans
JUN 2021,3.207151296270065,29.07847962313623,50.49264795079149
SEP 2021,4.193295313445969,15.79959461063224,53.52721567685178
APR 2022,2.592498805280394,13.75677518158676,47.73061386212246
SEP 2022,3.968569043118277,18.89843526821421,44.75238763653476
JAN 2023,4.395416087273954,17.35220701870891,42.52661696904536
APR 2023,3.528931035387069,14.91813150148548,43.87821556723546
MAY 2023,4.438931811844729,19.87858363332109,46.48325710406639
JUN 2023,4.524239849126533,19.64888770351324,41.60386164747658
SEP 2023,4.199621674379498,18.17128754531566,42.32772794790819
JAN 2024,4.647573286995116,17.96453706817023,46.44111820633311
JUN 2024,4.554284674612059,15.38280367816668,41.23830855874873
SEP 2024,2.821681966302584,14.05193577638794,39.51726467079658
NOV 2024,3.687894320951739,12.65068742764321,43.38974832967849
MAY 2025,5.486296684643466,9.566175617490551,42.44809295783588
