Date,Non-Metropolitan Area,Metropolitan Area
JAN 2023,48.74064452754603,40.31011100588339
APR 2023,53.39800954701894,47.10238452704812
MAY 2023,48.16176950660582,46.15623718546968
JUN 2023,47.6860456888329,43.68515582337258
SEP 2023,53.43768772275379,50.31080982564318
JAN 2024,53.34734864924562,49.53207163468982
JUN 2024,48.98684240809451,47.57885508680299
NOV 2024,54.97459960573586,50.88153270891539
MAY 2025,47.04775583822568,47.85109580531089
SEP 2025,46.17829555862676,41.98270346876799
