Date,18 to 29,30 to 44,45 to 59,60 Plus
JAN 2023,53.99612099407708,49.46438061353378,48.94515633889777,45.73829988012113
APR 2023,54.42812434900182,55.35829521673011,56.67131600422552,51.51751131000819
MAY 2023,49.34786415212125,55.86927124334883,54.46142138002814,48.69960061156078
JUN 2023,53.15813602124146,53.91633343138742,55.70401762561062,47.97329686719037
SEP 2023,57.59155311101632,53.57532155131265,53.46034826161098,55.61801847859253
JAN 2024,50.39366226627497,55.70827663781211,56.61338964376051,52.4717911269798
JUN 2024,56.31280991207179,58.0985981438528,61.29202973230939,58.34097093636255
SEP 2024,44.53417558199085,51.64396246920388,50.8212562130807,45.02002067134562
NOV 2024,44.71039757125105,54.99899586889053,52.21030785842168,52.53940721233634
MAY 2025,43.75013074087322,52.03358645421336,42.10661587882786,41.54687288884673
SEP 2025,54.27643000483429,51.10391976727914,48.77844496637741,42.69968315955475
