Date,No 4-year Degree,Has 4-year Degree
JAN 2023,44.89661746127608,35.34954482274518
APR 2023,49.54292304023058,44.93896836247445
MAY 2023,47.83354853183516,43.97823250204392
JUN 2023,46.54386967070803,40.12459504066877
SEP 2023,52.53920362218912,47.57984129362522
JAN 2024,51.67874271527182,47.18929070464112
JUN 2024,49.28558657450893,44.99666093369753
NOV 2024,50.25841767893078,53.64940421781148
MAY 2025,46.0378226635856,50.72854086392922
SEP 2025,44.18003162027526,39.59395136834804
