Date,No 4-year Degree,Has 4-year Degree
JUN 2021,14.64215461821917,3.646489073023285
SEP 2021,13.08224085844515,4.832085540812532
APR 2022,15.26681618120824,4.239262673184226
SEP 2022,12.36451621792422,4.416196048727401
JAN 2023,13.55284791669831,4.038869684268011
APR 2023,12.68943788127985,5.210481585012605
MAY 2023,13.23835748059371,4.815003520321691
JUN 2023,16.87971916261619,4.384386623923304
SEP 2023,16.27097296323564,6.402143567871887
JAN 2024,18.2112816285558,5.511031826437711
JUN 2024,14.444477785595,6.690194293160411
SEP 2024,13.8472038492812,5.278486248521079
NOV 2024,16.01338645021623,6.761588671534231
MAY 2025,14.19893997602634,5.945728853393266
SEP 2025,17.80432607722089,7.713225594074677
JAN 2026,16.29714339532993,6.811059888701811
