Date,White,Black,Hispanic
SEP 2021,29.43899015885231,20.49748769491799,18.88307969286264
APR 2022,27.93800634956923,10.28484640146896,18.0741777882206
SEP 2022,23.76526173910874,15.69219322821804,19.04330025509469
JAN 2023,23.30127903620894,15.33970853583248,20.00569790100987
APR 2023,27.17342751756632,21.58389342061165,24.23196960452783
MAY 2023,25.50325600077074,19.65360224452246,18.96348163248065
SEP 2023,28.9138944874436,14.10457346459271,29.0541052388442
JAN 2024,35.69340722902962,19.08611354374584,20.78297710381371
JUN 2024,27.20102195732687,19.29721149567827,26.29678010446047
SEP 2024,30.25768659574781,11.5248564338535,21.04961587491626
NOV 2024,31.15560652778838,13.98037737256593,22.45877656345735
MAY 2025,26.21995828505477,18.43283562457468,18.08137485320484
SEP 2025,26.40588803836965,10.06481060541383,17.19922446684583
JAN 2026,29.46917297710443,16.71407355460721,18.676011592245
