Date,Female,Male
JUN 2021,26.39760557662277,24.75487053181298
SEP 2021,25.22766321834673,24.25996289738646
APR 2022,20.85766302932313,21.75388327201179
SEP 2022,19.56816183270088,22.34603898175093
JAN 2023,19.49250664232152,21.6261919385438
APR 2023,19.07732637968477,20.85285511392695
MAY 2023,22.09671603739636,23.5368635738627
JUN 2023,19.22688629315241,21.60141994062641
SEP 2023,19.19837983530648,23.39253729825383
JAN 2024,21.81235648764882,22.97722651274864
JUN 2024,19.80290668124168,18.97901881372372
SEP 2024,18.4469691099737,19.18332221363278
NOV 2024,20.06360543607102,20.58845189417188
MAY 2025,18.65603329111488,21.96883088198484
