Date,Female,Male
SEP 2021,32.45427751681662,42.06690025802743
APR 2022,34.26160730661597,36.84261448876467
SEP 2022,27.28040335028453,38.46407758165291
JAN 2023,29.86658843086853,36.94335688959121
APR 2023,32.99096283672882,39.78007383801116
MAY 2023,34.21860587332987,41.1175696893454
JUN 2024,31.91825850650309,36.56211341460514
SEP 2024,30.60940464129384,41.12504436883385
NOV 2024,39.50896683514124,47.94729721246878
MAY 2025,34.44449158985349,42.19244512443277
SEP 2025,29.38048309191753,38.81472015469837
JAN 2026,31.75786667150812,39.48387389865032
