Date,Female,Male
SEP 2021,18.83825908444949,17.33299964798199
APR 2022,17.69796011592326,17.83088436240714
SEP 2022,19.71445270227256,21.4898727046039
JAN 2023,24.43257617162099,20.09167545746397
APR 2023,22.61703271595156,20.42904789877095
MAY 2023,24.48271848507111,23.96887808233853
SEP 2023,19.97700326136891,19.84573466780519
JUN 2024,17.12523495779854,23.49005985943208
SEP 2024,17.42138997810608,19.14587128417774
NOV 2024,20.61295155094708,20.70943051663374
MAY 2025,25.48645022820453,22.23348326134041
SEP 2025,23.18679275623495,21.64950644719538
JAN 2026,21.45258862880843,19.4783093536409
