Date,White,Black,Hispanic
JUN 2021,28.83819204909301,12.7475114901198,29.82934943989651
SEP 2021,28.2791781721777,13.4914228914705,24.61239437362745
APR 2022,24.60103989818236,7.856111280136309,22.50742266722211
SEP 2022,24.93396086326644,10.47615405950958,15.53159807739632
JAN 2023,24.82244087378817,8.010974583759753,16.42305538368643
APR 2023,23.27164427448308,10.70445482156912,16.73731902296953
MAY 2023,25.1099751824552,13.44491621977465,23.21643028962911
JUN 2023,22.84217177206556,10.16935585817537,21.63698443467484
SEP 2023,24.01764821221089,12.45882230422894,21.23705355415751
JAN 2024,26.59659834580826,12.85510037237172,20.77251598956402
JUN 2024,20.87591910714686,12.38974201845321,18.64664360191125
SEP 2024,21.88100390231763,9.074675812827289,17.10759704556189
NOV 2024,23.72318822037936,9.316334394454973,18.70024055747452
MAY 2025,22.09356133552022,14.32480695554626,17.74064848424774
