Date,Female,Male
JUN 2021,10.88388041765029,10.40147225274715
SEP 2021,12.0744298291887,8.17851649439743
APR 2022,11.81660735658251,10.92519371802489
SEP 2022,8.461364337895811,10.78329412855449
JAN 2023,8.982560322489338,11.5321158089515
APR 2023,9.66293546420895,10.53955304440122
MAY 2023,10.51600051989761,9.925030538132349
JUN 2023,13.04126375411789,11.71721010651987
SEP 2023,14.18199976915975,11.28660174756449
JAN 2024,13.90125974985668,13.5544246701952
JUN 2024,11.69321937071565,11.66442869077253
SEP 2024,10.41084787881855,11.15762893554617
NOV 2024,13.12831745337886,12.26056376950712
MAY 2025,12.31997783594598,9.981493294377183
SEP 2025,14.94653897239087,13.18415441178491
JAN 2026,13.01138675627769,12.68781091075659
