Date,18 to 29,30 to 44,45 to 59,60 Plus
SEP 2021,29.99236114193257,28.5095393077851,38.72508823674984,47.99936338212567
APR 2022,21.01443231223947,27.41664495061335,43.71449240725311,45.49756497636331
SEP 2022,25.94037642064897,24.42177290847385,36.34795813782802,40.90853168070444
JAN 2023,22.78794962075118,26.81484608272007,33.92696103613311,45.15553786391384
APR 2023,28.08057435478665,26.41619632160982,41.54176912387685,46.10649433031207
MAY 2023,30.21013069382844,28.10413947315817,43.03527710423583,46.38772592924189
JUN 2024,23.74710779628194,25.44476575185222,39.36787134036418,44.60208420379153
SEP 2024,32.44355437683247,31.57610443263471,36.07222194743981,40.9318631641904
NOV 2024,37.5012245115631,40.48744771780991,47.35028998311145,47.23835355905515
MAY 2025,28.56862324656583,30.08972075342714,43.25830112201358,47.48770042266118
SEP 2025,26.75301383558287,32.39189001669276,36.63047301430357,37.8886788586249
JAN 2026,31.48971685846201,29.19823267654402,36.64839876932076,42.7217124875604
