Date,Non-Metropolitan Area,Metropolitan Area
JAN 2023,47.59486782063662,49.35820319481628
APR 2023,57.96909397503883,53.74698778523784
MAY 2023,47.92098061064006,52.76333475120296
JUN 2023,52.71985729130873,52.28459521139487
SEP 2023,55.82751810844319,54.83163345098738
JAN 2024,51.30612875729184,54.28630485157677
JUN 2024,54.4687129322125,59.10817474063285
SEP 2024,49.53497701143948,47.75135317658814
NOV 2024,45.43450019799281,52.57653548287977
MAY 2025,41.06349070790247,45.40073319305933
SEP 2025,53.19769519463023,47.90568826177074
