Date,18 to 29,30 to 44,45 to 59,60 Plus
JUN 2021,11.46447603102103,10.0503006234495,10.42967637017624,10.85967797933376
SEP 2021,13.29106027067707,12.40000163907566,5.980945850681296,9.467093112149962
APR 2022,15.7846750278275,11.3131217836611,10.94331834337058,8.874110691087697
SEP 2022,15.60111006748382,11.84621340205858,8.685210151990063,4.530863035001451
JAN 2023,16.65948527688147,10.4600102110169,8.542784421228699,7.181888764083087
APR 2023,15.17614157520103,12.06685182275652,7.691929419892718,6.929488847492436
MAY 2023,13.18455579044447,13.39002718750084,8.771954437038817,6.697600854572859
JUN 2023,19.99733971289102,13.31765347072725,9.653665490289679,9.031652868219906
SEP 2023,17.02995920259582,14.12437369440322,12.30842448113841,9.271958595107433
JAN 2024,18.23327877237839,15.01063406111896,9.914262563496109,12.46366167555354
JUN 2024,15.42970317179529,14.42036712327869,9.643801156561709,8.426875807561006
SEP 2024,15.78679324421714,13.50141027364641,6.917457407300392,8.313261061136826
NOV 2024,20.06264082890878,12.13393905611706,12.78359401737136,8.438102456860042
MAY 2025,14.55513351083192,11.99634572124786,13.64442190162343,6.582226322397706
SEP 2025,18.69862452028836,16.53193867150141,10.98485859894839,11.52571918126913
JAN 2026,16.57021681135325,15.82138702368625,11.11729525750751,9.181773142021541
