Date,Democrats,Independents,Republicans
JUN 2021,4.057040477661641,20.87215857528442,14.03702694437044
SEP 2021,5.518362844583323,12.62636025412818,14.48845007229563
APR 2022,6.215970687371428,14.75982071669995,16.18445542781188
SEP 2022,4.496532061640655,15.15834455460897,13.8504209549601
JAN 2023,6.142747385843642,13.92424304465428,13.59499923262165
APR 2023,5.934056705501097,12.79621227145302,14.247982897387
MAY 2023,5.102579069876808,14.69831133104391,14.20175052814031
JUN 2023,7.893862872278056,16.08087170530828,16.55768445186246
SEP 2023,6.63339217539369,12.23480181216466,20.25243277540609
JAN 2024,7.144481524037769,16.4512441045047,20.26315055766231
JUN 2024,7.417375430216559,13.95916789489988,16.16925202282355
SEP 2024,6.136471945284329,12.94773024574065,15.26216752356848
NOV 2024,8.608583720486337,11.02060870069117,18.31160098592306
MAY 2025,10.25167670457511,13.05545261455743,11.41668287469467
SEP 2025,12.96592729749039,20.35477777346724,12.20312090253514
JAN 2026,13.4070106726313,12.57485314189012,12.15954324664218
