Date,White,Black,Hispanic
JAN 2023,48.45870825139533,52.76273506187119,47.90108921502247
APR 2023,55.64097786830487,51.18441603174918,52.74710429302988
MAY 2023,53.87923727735509,50.89818595333787,49.22879503140437
JUN 2023,52.00912467421492,52.57573672185615,51.43143382754853
SEP 2023,55.02224253403219,55.2067549973579,57.64654061613454
JAN 2024,53.00257278032519,54.59460848296492,54.33731634408667
JUN 2024,60.63860977751393,50.00582108505982,59.73300683257262
SEP 2024,49.23406153892763,45.96280312416114,42.06294726784765
NOV 2024,50.17282626103818,62.22123710705176,48.35530152250613
MAY 2025,46.59670168887916,47.31037614595392,41.94500215368499
SEP 2025,48.77976862515778,48.4988334233018,50.94255282063966
