Date,White,Black,Hispanic
JUN 2021,11.43161574395838,9.280232875341742,12.53179700849096
SEP 2021,8.119428960935391,12.75975752327049,18.478430863872
APR 2022,8.960990799706698,12.84300695015967,19.11506508501293
SEP 2022,8.052789232827921,14.42674858312454,13.08402847495692
JAN 2023,7.959955037166582,13.87689941170721,15.25729858295812
APR 2023,8.079500555618145,15.20389884331703,15.17120061899761
MAY 2023,8.186641511479424,14.26365171458488,14.63222338041515
JUN 2023,9.803362649723992,19.16759988333833,18.38531101603192
SEP 2023,10.08177747076177,16.92239342454551,19.75340279624153
JAN 2024,11.54244528336909,18.68631928138662,20.38287895912792
JUN 2024,9.52082382923008,18.46531835555817,15.77453488472898
SEP 2024,8.31493655385874,19.13728929787835,13.98944103589228
NOV 2024,9.453088617316514,16.97252965118609,19.13037954734036
MAY 2025,8.171725753780178,22.99473346506636,13.63336552526236
SEP 2025,9.975364227481535,27.81488283001788,15.8282538242794
JAN 2026,9.47498912625303,22.39399419207431,15.98424103262685
