Date,18 to 29,30 to 44,45 to 59,60 Plus
JAN 2023,48.54861083650991,42.70216212460829,42.81918416720935,35.06655356324045
APR 2023,50.83598291663546,50.28999276740394,52.55687024811644,40.49675281814191
MAY 2023,48.50113693776532,49.09708422013005,50.95709233863565,39.52464857304656
JUN 2023,52.02444108317159,44.42937238831355,47.21204529700017,36.95027974329695
SEP 2023,55.55775208257667,53.08738621080123,51.79978187607658,45.02983470366779
JAN 2024,47.17181500020313,50.06341078601625,57.01408566071004,46.93053019710191
JUN 2024,53.67293589339263,50.22193784432465,49.84545119215358,40.40069557546941
NOV 2024,49.67042869277181,56.01844718281175,55.69584692073772,45.62343562032627
MAY 2025,47.05416439896774,50.53932989061035,50.07125381899312,44.18859722522556
SEP 2025,48.45843774503661,47.47683987757176,41.88311793359821,35.17130128304341
