Date,No 4-year Degree,Has 4-year Degree
JUN 2021,29.84594006384908,18.15662773025295
SEP 2021,29.42670105875023,16.07571919117249
APR 2022,24.76900597813908,14.88040011626158
SEP 2022,25.45354512824988,12.47087655950196
JAN 2023,25.81586593121068,10.71368858034247
APR 2023,24.47570897453559,11.43240686694017
MAY 2023,27.66870345130748,14.04153843765767
JUN 2023,25.58688967239293,11.08780132579252
SEP 2023,26.27454557387292,12.10111662996923
JAN 2024,27.6221686880328,12.76923915969286
JUN 2024,23.2207243232467,12.49364779068982
SEP 2024,22.97259061628116,11.35243934929156
NOV 2024,24.70746678135384,12.42985899596945
MAY 2025,24.49736502148634,12.89672389906328
