Date,18 to 29,30 to 44,45 to 59,60 Plus
SEP 2021,21.34127345461403,18.46499789280866,28.59589949536002,32.52897864127426
APR 2022,12.37595496442423,19.61597241441978,25.82001348121997,30.41973281667811
SEP 2022,20.86083955632227,16.30201191974299,21.72878727245382,25.81676133123685
JAN 2023,19.9967337483628,15.26487912745544,19.43185618846931,28.00610121954918
APR 2023,24.41230967930882,19.32050115253146,26.24874177676019,29.70928554922915
MAY 2023,18.23367409101038,20.36740038133426,25.22222741188086,28.37169733258557
SEP 2023,20.18403696875913,22.05175655873587,31.31710615591972,30.83029270676888
JAN 2024,26.32312079433073,22.96077664821258,34.07277277337555,33.42955003261415
JUN 2024,21.21948817673765,27.98512807271537,26.31840416891589,27.67937700945302
SEP 2024,19.35150750905088,23.7199845336421,27.90969506926336,30.22733578524637
NOV 2024,22.93303365732223,27.74075320495245,30.25055956648352,26.16708932072227
MAY 2025,21.10309276968084,16.27109253575325,27.61937934758394,28.54560043183102
SEP 2025,19.48927757760731,21.06685844941092,21.48794762382944,24.27125197031814
JAN 2026,12.40066897209366,22.21381753146831,29.30276181613992,31.02983803955752
