Date,18 to 29,30 to 44,45 to 59,60 Plus
JUN 2021,15.87982900223103,18.99256783710387,32.53252714728713,32.02886075961791
SEP 2021,22.3140361173558,22.11962657221993,26.45191867455319,27.39463557649998
APR 2022,13.82999178874902,20.41467454659043,25.25771445789529,23.88622196886162
SEP 2022,22.09736853668325,19.46374596836032,22.16118840876068,20.32286971996673
JAN 2023,19.45028709459901,20.89966798144871,19.21804545124714,21.94845687686994
APR 2023,18.48638762084574,17.31704266913576,21.29972392181353,22.10307095676697
MAY 2023,23.69409972529065,20.24249385057833,25.37668045404625,22.48866240387946
JUN 2023,18.48056603462624,18.13227013463147,23.42499726193177,21.05107688729391
SEP 2023,21.86715148079609,20.87721674318847,23.40556295858272,19.47998887909984
JAN 2024,23.21392431682371,19.51659099092465,23.55173746883595,23.4502631160584
JUN 2024,18.37304047709785,20.45928434604157,20.06147583541857,18.699305422893
SEP 2024,21.61147338828608,19.21068153686806,20.36702260911918,15.49307301415593
NOV 2024,18.42211161597015,19.77777443903105,22.22329033213381,20.52065017802929
MAY 2025,18.68740933203333,15.42143642192523,23.7591502187699,22.79213863401353
