Date,Democrats,Independents,Republicans
SEP 2021,18.15823841473258,33.25960512167288,61.51534758014684
APR 2022,19.35037632966671,23.25555636372709,60.93004651291951
SEP 2022,16.58924639658227,27.7512178004471,56.79548409427365
JAN 2023,15.37054843833031,30.30102392253345,57.58118814272544
APR 2023,17.5809798745253,30.82936792691479,63.45070105337851
MAY 2023,17.70621721045742,31.41782956142591,64.69927579089597
JUN 2024,17.65703575165962,29.98744961345037,58.53824059214935
SEP 2024,17.09386865228145,34.93881658745895,57.83341235084794
NOV 2024,25.43887709400939,37.9338307658601,67.7886939122584
MAY 2025,20.55016368474816,28.70845085270948,63.19422764524564
SEP 2025,16.0374610666477,29.37566392935365,60.47955614267386
JAN 2026,15.17282129746871,30.12106842773489,61.33311357049335
