Date,Female,Male
JAN 2023,49.29746100108305,48.88699017189622
APR 2023,56.22788282439748,52.29129148330268
MAY 2023,53.62290887842649,50.37541643678775
JUN 2023,53.38246324265447,51.25371666354857
SEP 2023,54.59576366733499,55.3849147530543
JAN 2024,55.8430535382304,51.76687402295034
JUN 2024,58.49827979391841,58.5513645314694
SEP 2024,45.47290396531191,50.63079256355604
NOV 2024,52.75471019760717,50.27491767604185
MAY 2025,48.82502142845104,40.64009147875749
SEP 2025,49.76098387069308,47.27602345899088
