Date,Female,Male
JUN 2021,9.634697328320001,8.472755618400084
SEP 2021,9.220267972858515,9.933863306000319
APR 2022,8.044648816153112,7.426411343401996
SEP 2022,4.179937642721764,6.322603078259376
JAN 2023,5.178279532210322,4.008446116667231
APR 2023,4.788272594411247,3.54559330525781
MAY 2023,4.561912950992807,4.592837690983471
JUN 2023,6.023751501492805,7.430411433961439
SEP 2023,5.838684550811038,4.496931328001998
JAN 2024,7.116241445808229,5.878707582918267
JUN 2024,7.698092714459535,6.098711616612159
SEP 2024,5.700287801729496,5.819875999302393
NOV 2024,4.454866916056286,5.135848893642649
