Date,Democrats,Independents,Republicans
SEP 2022,11.99513574596611,8.568378422043077,3.023686994100342
JAN 2023,8.004645800045317,11.5753067844738,6.019350236747596
APR 2023,10.96441448716555,8.575075946987694,5.125381725045
MAY 2023,10.53814907513515,11.18195085318997,6.318436166632487
JUN 2023,15.93727900298636,13.87391938602179,6.003594638321766
SEP 2023,12.53688504379269,10.74227191587757,7.735247946129166
JAN 2024,11.92920096199755,9.88945582232031,5.404972803565399
JUN 2024,12.97890309115161,11.94131920037831,6.867647579470108
NOV 2024,8.966329529326005,6.13797218542949,4.683167249597004
MAY 2025,23.74954936071327,9.647083173548944,7.019713665323146
SEP 2025,13.48110710266107,11.99217991987698,4.827233561900511
