Date,No 4-year Degree,Has 4-year Degree
SEP 2022,9.877239604282559,5.579647201062246
JAN 2023,8.624403217516374,6.567186312985325
APR 2023,10.25681706596871,5.011340574280116
MAY 2023,10.87030753773706,5.874516051036551
JUN 2023,14.30246153833746,7.911708965286475
SEP 2023,11.88334842554958,7.638214797710787
JAN 2024,10.52273436861338,6.606213801535834
JUN 2024,13.42066818483527,5.611051611009645
NOV 2024,7.84151585169882,5.189962245510436
MAY 2025,15.39246574007482,13.93660461307705
SEP 2025,11.81494752999119,7.739574984214761
