Date,18 to 29,30 to 44,45 to 59,60 Plus
JUN 2021,8.905088697901139,8.503366925555115,9.959813468324539,8.986898092341546
SEP 2021,12.30242684631664,11.91648125959681,8.14940427743165,6.777116752141933
APR 2022,5.980370003510003,10.50397900242186,5.010246221407097,8.744101488606054
SEP 2022,8.566911256702182,5.824213085453404,5.326766313511195,2.647795430846225
JAN 2023,10.06756064078436,5.680990489258551,2.3212896825928,1.965279897604789
APR 2023,6.945220391781263,4.300901588693263,4.306794722264085,2.193047999336805
MAY 2023,6.040048679488687,5.393474944755915,3.500661730146819,3.735058766879996
JUN 2023,8.318368216282918,8.139131647061495,7.502572619216881,3.935732969004492
SEP 2023,6.007507753957834,6.73523602074283,5.479341717765113,3.158955496458697
JAN 2024,4.74317033026847,7.307529111299929,7.192429484573987,6.485606350402152
JUN 2024,7.570197295183148,9.404144732977429,6.949156289510938,4.374731711491252
SEP 2024,8.176725765105504,7.642693643707549,3.532943362819303,4.387214773316173
NOV 2024,6.70771957365353,6.888706585569415,4.124766026902031,2.325620823630524
