Date,No 4-year Degree,Has 4-year Degree
JUN 2021,10.88222924291516,5.896303319087363
SEP 2021,12.91241761112564,3.327790164751944
APR 2022,9.725881759665722,4.100378886659264
SEP 2022,7.351639245817029,1.667121411816598
JAN 2023,6.329464286495351,1.412498510429816
APR 2023,5.958131975726314,.8510522923642883
MAY 2023,6.102044878414051,1.83475177091627
JUN 2023,9.32212631511991,2.04067236459514
SEP 2023,6.61152987110723,2.588331223167694
JAN 2024,8.309475696919797,3.208310943367436
JUN 2024,9.071244439414796,3.000654498460785
SEP 2024,7.439755113628061,2.751703131020609
NOV 2024,6.065112715209877,2.486747190696307
